3403.421	500713.875	-0.11
3390.761	500706.179	-0.55
3380.932	500697.599	-0.66
3367.264	500692.639	-1.1512499999999999
3353.732	500690.601	-1.59
3341.487	500687.644	-1.5325
3328.902	500683.609	-2.28
3305.253	500673.422	-2.9724999999999997
3295.847	500666.351	-3.16
3281.436	500651.636	-3.785
3273.459	500644.446	-3.87
3262.933	500639.772	-3.9475000000000002
3252.177	500635.558	-4.24
3209.238	500618.733	-4.7975
3187.232	500613.195	-5.23
3165.141	500607.196	-5.4425
3154.095	500604.427	-5.63
3142.992	500601.719	-5.63875
3104.119	500581.368	-6.35
3087.918	500563.081	-6.651249999999999
3070.601	500545.467	-7.25
3061.341	500537.32	-7.12125
3043.336	500520.935	-7.63
3034.562	500512.543	-7.69875
3016.614	500496.189	-7.99
3006.952	500488.471	-8.057500000000001
3481.64	497646.8	-13.27
3473.59	497665.27	-13.274999999999999
3470.86	497675.06	-13.5
3466.56	497684.55	-13.302499999999998
3452.84	497699.53	-13.25
3445.21	497706.86	-13.235
3438.52	497714.5	-13.09
3432.5	497722.8	-13.248750000000001
3427.69	497731.71	-13.27
3415.26	497759.71	-13.4025
3405.53	497777.89	-13.56
3400.9	497787.01	-13.436249999999998
3396.01	497796.3	-13.55
3391.21	497805.48	-13.471250000000001
2984.61	498517.46	-13.38
2993.28	498512.17	-13.282500000000002
3000.56	498505.02	-13.37
3007.2	498497.38	-13.287499999999998
3014.1	498489.66	-13.38
3020.74	498481.81	-13.27
3026.69	498473.74	-13.35
3032.05	498465.17	-13.2975
3042.75	498447.99	-13.44
3047.55	498438.77	-13.385
3063.7	498405.52	-13.66
3069.23	498396.18	-13.398750000000001
3074.6	498387.5	-13.57
3093.35	498352.02	-13.469999999999999
3098.73	498341.83	-13.65
3103.94	498332.61	-13.461249999999998
3109.52	498323.24	-13.6
3114.71	498314.63	-13.4675
3135.62	498275.2	-13.66
3139.89	498266.12	-13.451249999999998
3173.4	498204.52	-13.52
3188.52	498177.8	-13.3675
3193.48	498168.63	-13.45
3203.07	498150.52	-13.43
3221.47	498114.48	-13.58
3226.07	498105.54	-13.46625
3235.63	498087.62	-13.59
3246.07	498070.07	-13.506249999999998
3251.6	498061.61	-13.61
3257.18	498053.19	-13.485
3262.57	498044.7	-13.66
3267.84	498035.6	-13.5375
3281.57	498007.37	-13.69
3290.82	497989.17	-13.493749999999999
3295.57	497980.14	-13.68
3305.06	497962.11	-13.54875
3314.69	497944.09	-13.71
3322.02	497930.87	-13.567499999999999
3332.3001	497913.19	-13.7
3338.39	497902.67	-13.51875
3348.63	497884.02	-13.59
3353.27	497874.89	-13.542499999999999
3357.78	497865.82	-13.6
3371.0	497838.13	-13.485
3534.34	497721.52	-13.28
3524.08	497738.89	-13.23875
3518.79	497747.78	-13.24
3513.09	497756.4	-13.19875
3507.29	497765.42	-13.13
3501.98	497774.05	-13.16
3497.09	497782.79	-13.19
3487.76	497800.87	-13.107499999999998
3483.08	497810.2	-13.17
3474.0	497828.82	-13.12125
